"Education","Marital_Status","Income","Recency","NumWebVisitsMonth","Total_Spending","Age","Children","TotalNumPurchases","TotalAcceptedCmp"
1,0,58138,58,7,1617,61,0,25,1
1,0,46344,38,5,27,64,2,6,0
1,1,71613,26,4,776,53,0,21,0
1,1,26646,26,6,53,34,1,8,0
2,1,58293,94,5,422,37,1,19,0
2,1,62513,16,6,716,51,1,22,0
1,0,55635,34,6,590,47,1,21,0
2,1,33454,32,8,169,33,1,10,0
2,1,30351,19,9,46,44,1,6,1
2,1,5648,68,20,49,68,2,2,1
0,1,7500,59,8,61,42,0,6,0
1,0,63033,82,2,1102,59,0,16,0
2,0,59354,53,6,310,66,2,15,0
1,1,17323,38,8,46,31,0,5,0
2,0,82800,23,3,1315,72,0,26,3
1,1,41850,51,8,96,38,2,9,0
1,1,37760,20,7,317,72,0,13,0
2,1,76995,91,5,1782,69,1,26,1
0,0,33812,86,6,133,33,1,8,0
1,1,37040,41,8,316,36,0,12,0
1,1,2447,42,1,1730,39,1,43,0
2,1,58607,63,8,972,69,1,17,1
2,1,65324,0,4,544,64,1,20,0
1,1,40689,69,8,444,67,1,20,0
1,0,18589,89,7,75,49,0,8,0
1,1,53359,4,7,257,42,2,14,0
1,1,38360,26,3,131,29,1,9,0
2,1,84618,96,2,1672,53,0,26,1
2,0,10979,34,5,30,29,0,8,0
2,1,38620,56,3,318,55,0,11,0
1,1,40548,31,5,120,48,1,9,1
2,0,46610,8,6,302,66,2,17,1
2,1,68657,4,7,1196,72,0,18,0
2,0,49389,55,7,65,67,2,6,0
2,1,67353,37,2,913,48,1,28,0
0,1,23718,76,7,81,42,1,9,0
1,0,42429,99,5,67,45,1,7,0
2,0,48948,53,6,902,75,0,24,2
1,1,80011,3,4,1395,38,1,21,0
2,1,20559,88,8,53,33,1,7,0
1,1,21994,4,5,22,61,1,4,0
2,1,7500,19,5,31,43,1,8,0
1,0,79941,72,1,984,42,0,16,0
0,1,7500,24,9,122,22,0,10,1
1,1,41728,92,10,55,50,1,5,0
2,1,72550,39,8,1319,64,2,28,0
1,0,65486,29,2,507,61,1,17,0
2,1,79143,2,3,1693,54,0,29,0
1,0,35790,54,7,72,41,1,7,0
1,0,82582,54,1,1617,41,0,21,3
1,1,66373,57,3,606,40,2,23,0
2,1,82384,55,1,1957,63,0,27,2
1,0,70287,30,3,1093,52,0,21,1
1,0,27938,31,3,29,30,1,6,0
2,1,55954,63,7,518,50,1,19,0
2,0,75777,12,1,1438,36,0,21,3
1,1,66653,18,3,612,43,2,22,0
1,0,61823,26,7,884,66,1,24,0
2,0,67680,8,5,606,67,1,19,0
1,1,70666,29,4,1076,70,0,16,0
1,1,25721,75,7,34,47,1,5,1
1,1,32474,0,7,11,51,2,4,0
0,0,88194,19,5,1274,39,1,32,3
1,1,69096,4,4,653,60,1,18,0
1,1,74854,90,5,1562,48,3,19,0
2,1,66991,1,3,1253,64,0,21,0
1,1,65031,29,7,863,59,1,30,0
2,1,60631,88,7,661,43,2,24,1
1,1,28332,58,2,65,66,0,8,0
1,0,40246,68,6,13,41,1,4,0
2,1,75251,34,5,1890,46,0,19,1
1,0,75825,40,4,2209,42,0,22,2
0,1,26326,12,3,18,42,0,4,0
1,1,56046,9,8,692,53,0,21,2
1,0,29760,87,8,165,33,1,12,0
1,1,26304,5,7,16,49,1,4,0
0,1,23559,87,7,79,45,1,9,0
2,1,38620,56,3,318,55,0,11,0
1,0,81361,18,1,778,31,0,27,0
1,1,29440,95,7,56,58,2,7,0
2,1,36138,48,7,151,48,2,13,1
1,0,50388,3,7,372,61,1,17,3
1,1,79593,70,2,1366,45,0,19,1
1,1,54178,79,2,194,51,1,10,0
2,0,42394,69,7,32,46,1,5,0
2,1,23626,84,5,43,48,1,10,0
1,1,30096,30,6,45,35,1,6,0
1,0,47916,72,6,606,58,1,22,1
1,0,51813,37,7,63,46,2,7,0
0,1,78497,44,2,978,67,0,25,1
2,1,50150,32,5,410,35,0,16,0
0,0,47823,0,8,72,58,1,7,0
2,0,34554,43,6,55,59,1,7,0
1,1,85693,59,5,1169,39,1,27,0
2,1,65846,68,4,1120,73,0,16,0
1,1,87195,35,1,1097,59,0,20,1
0,1,24594,94,5,29,39,1,5,0
1,1,49096,15,7,187,54,2,13,0
1,1,52413,56,6,910,49,2,26,0
1,0,38557,17,7,145,40,1,9,0
2,1,89058,18,2,850,58,0,14,0
1,1,77298,46,3,969,39,1,24,0
2,0,68126,40,9,1820,27,0,17,2
2,1,57288,27,6,608,55,1,20,1
1,0,86037,95,3,730,27,0,25,3
2,1,43974,19,7,551,38,1,21,0
1,0,50785,27,6,114,56,2,8,0
1,1,90765,25,1,1724,48,0,15,2
0,1,36550,74,9,577,40,1,20,0
0,1,30753,85,5,81,51,2,7,0
1,1,21918,37,6,33,49,1,7,0
2,1,56129,65,4,660,65,1,22,0
2,0,32557,13,5,80,51,1,9,1
2,1,19510,63,7,30,33,2,6,0
1,0,30992,83,7,43,42,1,5,0
1,0,101970,69,2,1135,35,0,27,4
0,1,71488,87,1,559,53,0,16,0
1,0,79607,37,1,1923,34,0,16,1
2,1,54348,51,6,90,65,2,8,0
2,1,77376,72,4,661,62,2,23,0
1,1,62998,10,5,463,66,1,19,0
2,0,61331,42,8,632,60,2,23,0
1,1,73448,10,4,725,49,0,19,0
2,1,41551,51,8,279,54,2,16,0
2,1,62981,21,3,1482,51,0,23,1
0,0,9548,31,8,29,42,1,6,0
2,1,33762,61,8,106,59,3,9,0
2,0,35860,37,5,49,45,2,6,2
2,0,36921,74,7,38,53,2,7,0
2,0,92859,46,2,2077,26,0,22,0
2,1,65104,4,7,1053,42,1,17,1
